PC1	PC2	PC3	Sample	Group
-13.38350015	6.745117076	8.456133994	QL3A	QL3
-14.67038631	2.574958879	5.193035364	QL3B	QL3
-20.13678002	2.988697214	5.155085556	QL3C	QL3
-14.50361093	2.336050765	-11.48140606	QL4A	QL4
-15.9214535	4.707767208	-7.998968614	QL4B	QL4
-13.54749047	6.342564472	-14.87071705	QL4C	QL4
-9.86974749	-20.45056459	2.908032116	QL5A	QL5
-3.522765987	-4.998956061	-13.52736613	QL5B	QL5
4.388664488	-15.55495912	3.149353482	QL5C	QL5
4.825045532	7.547888844	14.5094175	WL3A	WL3
-5.966248801	14.42611859	12.30529701	WL3B	WL3
12.76082912	18.60404629	1.410909894	WL3C	WL3
19.44816833	1.753192801	1.383022602	WL4A	WL4
27.1343611	3.033889448	2.425176883	WL4B	WL4
14.90417524	1.867588185	-5.989879927	WL4C	WL4
3.570771737	-33.02070378	5.722295127	WL5A	WL5
3.161933401	0.313407845	4.778047611	WL5B	WL5
21.32803472	0.783895933	-13.52746935	WL5C	WL5
